tenure_months,sessions_per_week,feature_usage,support_tickets,is_premium,churn
29,14,46,2,0,0
15,0,14,2,0,0
8,7,36,0,0,0
21,11,12,0,0,0
19,7,17,0,0,0
23,3,39,0,1,0
11,12,9,0,0,0
11,6,35,4,0,0
24,14,13,0,0,0
24,14,15,1,1,0
3,10,18,1,0,0
22,9,33,1,0,1
2,2,6,2,0,1
24,5,27,2,1,0
30,13,23,1,1,0
2,9,27,2,0,0
21,12,34,1,0,0
33,9,46,1,1,0
12,11,38,5,0,0
22,13,14,1,0,0
25,8,36,1,0,0
27,0,8,1,0,0
28,4,35,0,0,0
16,3,19,0,0,1
15,7,30,0,0,0
3,10,14,2,1,0
7,11,20,0,0,0
21,0,49,0,1,0
9,8,25,0,0,0
18,5,40,0,0,0
4,3,24,1,0,1
25,11,14,1,1,0
14,8,26,0,1,0
9,10,38,2,0,1
26,4,23,0,1,0
2,14,22,1,0,1
20,4,48,0,1,0
28,11,19,3,1,0
7,4,46,1,1,0
8,0,3,2,0,1
35,0,42,1,0,1
14,7,19,2,0,0
17,11,9,0,0,0
4,7,28,1,0,1
2,11,20,1,0,1
6,14,45,1,0,0
4,14,7,2,0,1
29,5,14,1,0,0
18,11,9,0,0,0
26,10,19,1,1,0
34,12,47,1,0,0
10,3,14,2,0,0
14,1,38,0,1,1
31,13,36,3,0,1
15,1,40,2,0,0
8,8,17,2,0,0
14,14,30,3,0,0
23,4,9,2,1,0
21,3,33,0,0,0
16,9,25,0,0,0
18,12,14,2,0,0
24,0,11,1,0,1
26,6,35,1,1,0
25,2,41,2,0,1
29,5,14,2,0,0
15,4,30,0,0,0
1,4,41,1,0,0
25,10,4,0,0,0
7,4,4,1,1,0
9,0,28,3,1,0
24,0,8,0,1,0
1,2,2,2,1,0
8,13,41,3,0,0
24,11,46,3,0,1
11,9,22,2,1,0
17,3,41,3,1,0
8,4,16,0,1,0
35,1,29,4,0,0
35,7,49,3,0,1
33,10,48,0,1,0
5,10,30,2,1,0
28,13,12,0,1,0
7,1,35,1,0,1
9,8,11,0,0,0
8,1,46,2,0,1
12,12,21,0,1,0
34,8,21,0,0,0
33,6,5,1,0,0
23,14,48,3,1,0
24,7,20,1,0,0
35,14,37,2,1,0
22,10,3,0,0,0
